SampleID,location,treatment,season,year,replicate,DNA_ug_per_g
1,L80 ,control,7,2023,1,0.08044806517
2,L80 ,control,7,2023,2,0.093
3,L80 ,latrine,7,2023,1,NA
4,L80 ,latrine,7,2023,2,0.5795952722
5,L75,control,7,2023,1,0.006225879269
6,L75,control,7,2023,2,0.01227578475
7,L75,latrine,7,2023,1,0.2137345679
8,L75,latrine,7,2023,2,1.828416149
9,L55,control,7,2023,1,0.01676829268
10,L55,control,7,2023,2,0.07696177062
11,L55,latrine,7,2023,1,1.725993377
12,L55,latrine,7,2023,2,1.440746753
13,L70,control,7,2023,1,0.01332997988
14,L70,control,7,2023,2,0.01591826923
15,L70,latrine,7,2023,1,0.2422390557
16,L70,latrine,7,2023,2,0.7041002608
17,L86,control,7,2023,1,0.544943768
18,L86,control,7,2023,2,0.5934851695
19,L86,latrine,7,2023,1,1.08075693
20,L86,latrine,7,2023,2,0.7540410959
21,L71,control,7,2023,1,0.007568261292
22,L71,control,7,2023,2,0.009145833333
23,L71,latrine,7,2023,1,0.1264822134
24,L71,latrine,7,2023,2,0.1640926641
25,L57B,control,7,2023,1,0.1071745456
26,L57B,control,7,2023,2,0.06381385157
27,L57B,latrine,7,2023,1,1.21921875
28,L57B,latrine,7,2023,2,1.341738281
29,L77,control,7,2023,1,0.5186805556
30,L77,control,7,2023,2,0.5658333333
31,L77,latrine,7,2023,1,2.691506024
32,L77,latrine,7,2023,2,4.274246988
33,L81,control,7,2023,1,0.222081117
34,L81,control,7,2023,2,0.1054156658
35,L81,latrine,7,2023,1,2.380223214
36,L81,latrine,7,2023,2,2.514732143
37,L83,control,7,2023,1,0.5290750816
38,L83,control,7,2023,2,0.5106800871
39,L83,latrine,7,2023,1,1.7609375
40,L83,latrine,7,2023,2,1.541193182
41,L57A,control,7,2023,1,0.4705782774
42,L57A,control,7,2023,2,0.7418201517
43,L57A,latrine,7,2023,1,2.820466321
44,L57A,latrine,7,2023,2,2.371923575
45,L91,control,7,2023,1,0.3559610706
46,L91,control,7,2023,2,0.5698884135
47,L91,latrine,7,2023,1,5.378189793
48,L91,latrine,7,2023,2,5.242889421
51,L83,control,12,2023,1,1.232779569
52,L83,control,12,2023,2,1.438406808
53,L83,latrine,12,2023,1,5.105189022
54,L83,latrine,12,2023,2,10.0771992
55,L94,control,12,2023,1,0.2634583358
56,L94,control,12,2023,2,0.2351729317
57,L94,latrine,12,2023,1,0.9075243747
58,L94,latrine,12,2023,2,1.390250106
59,L62,control,12,2023,1,3.968520221
60,L62,control,12,2023,2,2.868336397
61,L62,latrine,12,2023,1,3.524546332
62,L62,latrine,12,2023,2,5.337548263
49,L91,latrine,7,2023,1,1.652799774
50,L91,latrine,7,2023,2,3.0078125
63,L57A,control,12,2023,1,1.178996037
64,L57A,control,12,2023,2,0.6283300308
65,L57A,latrine,12,2023,1,0.19875
66,L57A,latrine,12,2023,2,1.284375
67,L101,control,12,2023,1,1.950971434
68,L101,control,12,2023,2,1.911860652
69,L101,latrine,12,2023,1,5.39497549
70,L101,latrine,12,2023,2,9.189542484
71,L102,control,12,2023,1,2.57652163
72,L102,control,12,2023,2,2.692949979
73,L102,latrine,12,2023,1,0.9867493113
74,L102,latrine,12,2023,2,0.9784573003
75,L91,control,12,2023,1,1.124611028
76,L91,control,12,2023,2,1.156742771
77,L91,latrine,12,2023,1,2.561736353
78,L91,latrine,12,2023,2,3.055749129
79,L104,control,12,2023,1,2.440043635
80,L104,control,12,2023,2,2.637945792
81,L104,latrine,12,2023,1,0.6027108434
82,L104,latrine,12,2023,2,1.063403614
