Location,soilAge,Type,mass_N,mol_N,d15N,Mass_C,mol_C,d13C,CN_Ratio,Run number
LIA_100,lia,control,2.9,182.9,2.38,33,2447,-23.79,13.4,2
LIA_100,lia,latrine,30.9,1834.1,2.69,391,27061,-27.19,14.8,2
LIA_101,lia,control,5.1,260.8,4.08,55,3234,-23.51,12.4,2
LIA_101,lia,latrine,31.3,2063.6,2.4,381,29325,-28.98,14.2,2
LIA_101,lia,latrine,260.7,2278.6,2.17,NA,,,,2
LIA_102,lia,control,9.1,635.4,3.4,135,11013,-24.85,17.3,2
LIA_102,lia,latrine,25.7,2178.7,1.72,300,29572,-27.36,13.6,2
LIA_104,lia,control,3.5,215.8,2.68,42,3004,-24.86,13.9,2
LIA_104,lia,control,72.7,279.6,3.09,NA,,,,2
LIA_104,lia,control,124.4,266.6,3.17,NA,,,,2
LIA_104,lia,latrine,26.1,1844.9,3.11,312,25657,-27.22,13.9,2
LIA_62,lia,control,20.3,782.7,1.57,319,14331,-25.81,18.3,2
LIA_62,lia,latrine,37.9,1930.9,0.73,493,29294,-27.28,15.2,2
Pe70,rgm,control,2.1,6.9,1.01,14,54,-25.5,7.9,2
Pe70,rgm,latrine,20.7,1908.3,0.18,266,28674,-27.63,15,2
Pe75,rgm,control,7.3,9.5,2.6,65,98,-25.77,10.3,1
Pe75,rgm,latrine,54.2,2078.8,0.63,638,28556,-22.9,13.7,2
Pe77,rgm,control,3.8,6.7,1.28,31,65,-25.11,9.7,1
Pe77,rgm,latrine,32.2,1886.1,1.76,357,24424,-27.57,12.9,2
Pe80,rgm,control,24.1,73.5,-0.55,231,820,-24.39,11.2,2
Pe80,rgm,latrine,30,1771.8,0.41,343,23651,-27.05,13.3,2
Pe81,rgm,control,5.6,12.5,0.42,48,123,-22.67,9.9,1
Pe81,rgm,latrine,31,2135.7,1.53,351,28215,-27.2,13.2,2
Pe83,rgm,control,22.3,27.9,-0.06,196,286,-23.95,10.3,1
Pe83,rgm,latrine,38.3,2033.9,3.07,440,27280,-27.7,13.4,2
Pe94,rgm,control,9,12.6,-0.71,108,176,-24.86,14,1
Pe94,rgm,latrine,39.6,2021.7,4.76,458,27283,-27.5,13.5,2
