SampleID,latrine,treatment,month-collected,year-collected,replicate,pcr-plate-16s,latrine_trt,latrine_trt_month,trt_month,soilAge,trt_soilAge,trt_month_soilAge
1,L80 ,control,dry,2023,1,1,L80_control,L80_control_dry,control_dry,rgm,control_rgm,control_dry_rgm
2,L80 ,control,dry,2023,2,1,L80_control,L80_control_dry,control_dry,rgm,control_rgm,control_dry_rgm
3,L80 ,latrine,dry,2023,1,1,L80_latrine,L80_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
4,L80 ,latrine,dry,2023,2,1,L80_latrine,L80_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
5,L75,control,dry,2023,1,1,L75_control,L75_control_dry,control_dry,rgm,control_rgm,control_dry_rgm
6,L75,control,dry,2023,2,1,L75_control,L75_control_dry,control_dry,rgm,control_rgm,control_dry_rgm
7,L75,latrine,dry,2023,1,1,L75_latrine,L75_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
8,L75,latrine,dry,2023,2,1,L75_latrine,L75_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
9,L55,control,dry,2023,1,1,L55_control,L55_control_dry,control_dry,rgm,control_rgm,control_dry_rgm
10,L55,control,dry,2023,2,1,L55_control,L55_control_dry,control_dry,rgm,control_rgm,control_dry_rgm
11,L55,latrine,dry,2023,1,1,L55_latrine,L55_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
12,L55,latrine,dry,2023,2,1,L55_latrine,L55_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
13,L70,control,dry,2023,1,1,L70_control,L70_control_dry,control_dry,rgm,control_rgm,control_dry_rgm
14,L70,control,dry,2023,2,1,L70_control,L70_control_dry,control_dry,rgm,control_rgm,control_dry_rgm
15,L70,latrine,dry,2023,1,1,L70_latrine,L70_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
16,L70,latrine,dry,2023,2,1,L70_latrine,L70_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
17,L86,control,dry,2023,1,1,L86_control,L86_control_dry,control_dry,rgm,control_rgm,control_dry_rgm
18,L86,control,dry,2023,2,1,L86_control,L86_control_dry,control_dry,rgm,control_rgm,control_dry_rgm
19,L86,latrine,dry,2023,1,1,L86_latrine,L86_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
20,L86,latrine,dry,2023,2,1,L86_latrine,L86_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
21,L71,control,dry,2023,1,1,L71_control,L71_control_dry,control_dry,rgm,control_rgm,control_dry_rgm
22,L71,control,dry,2023,2,1,L71_control,L71_control_dry,control_dry,rgm,control_rgm,control_dry_rgm
23,L71,latrine,dry,2023,1,1,L71_latrine,L71_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
24,L71,latrine,dry,2023,2,1,L71_latrine,L71_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
25,L57B,control,dry,2023,1,1,L57B_control,L57B_control_dry,control_dry,rgm,control_rgm,control_dry_rgm
26,L57B,control,dry,2023,2,1,L57B_control,L57B_control_dry,control_dry,rgm,control_rgm,control_dry_rgm
27,L57B,latrine,dry,2023,1,1,L57B_latrine,L57B_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
28,L57B,latrine,dry,2023,2,1,L57B_latrine,L57B_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
29,L77,control,dry,2023,1,1,L77_control,L77_control_dry,control_dry,rgm,control_rgm,control_dry_rgm
30,L77,control,dry,2023,2,1,L77_control,L77_control_dry,control_dry,rgm,control_rgm,control_dry_rgm
31,L77,latrine,dry,2023,1,1,L77_latrine,L77_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
32,L77,latrine,dry,2023,2,1,L77_latrine,L77_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
33,L81,control,dry,2023,1,1,L81_control,L81_control_dry,control_dry,rgm,control_rgm,control_dry_rgm
34,L81,control,dry,2023,2,1,L81_control,L81_control_dry,control_dry,rgm,control_rgm,control_dry_rgm
35,L81,latrine,dry,2023,1,1,L81_latrine,L81_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
36,L81,latrine,dry,2023,2,1,L81_latrine,L81_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
37,L83,control,dry,2023,1,1,L83_control,L83_control_dry,control_dry,rgm,control_rgm,control_dry_rgm
38,L83,control,dry,2023,2,1,L83_control,L83_control_dry,control_dry,rgm,control_rgm,control_dry_rgm
39,L83,latrine,dry,2023,1,1,L83_latrine,L83_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
40,L83,latrine,dry,2023,2,1,L83_latrine,L83_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
41,L57A,control,dry,2023,1,1,L57A_control,L57A_control_dry,control_dry,rgm,control_rgm,control_dry_rgm
42,L57A,control,dry,2023,2,1,L57A_control,L57A_control_dry,control_dry,rgm,control_rgm,control_dry_rgm
43,L57A,latrine,dry,2023,1,1,L57A_latrine,L57A_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
44,L57A,latrine,dry,2023,2,1,L57A_latrine,L57A_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
45,L91,control,dry,2023,1,1,L91_control,L91_control_dry,control_dry,rgm,control_rgm,control_dry_rgm
46,L91,control,dry,2023,2,1,L91_control,L91_control_dry,control_dry,rgm,control_rgm,control_dry_rgm
47,L91,latrine,dry,2023,1,1,L91_latrine,L91_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
48,L91,latrine,dry,2023,2,1,L91_latrine,L91_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
